ID	TAG	CATEGORY	NOTES / TRANSLATION
611	スクール水着	swim	Sukumizu / Japanese school swimsuit
612	クリリード	clit pierc sm	clitoris leash / clit chain attachment
613	ガールズ&パンツァー	tm	Girls und Panzer (Full katakana version)
614	ウェディングドレス	costume	Wedding dress
615	アラド戦記	tm	Arad Senki / Dungeon Fighter Online (JP name)
616	ごっくん	cum	Gokkun / Swallowing semen act
617	commission	content	Paid commission work (English tag)
618	boobs	tit-	Boobs (English lowercase plural tag)
619	R-15	content	R-15 rating / Mild restriction
620	FF7	tm	Final Fantasy VII (Abbreviation tag)
621	BLEACH	tm	Bleach series
622	鷺沢文香	©	Fumika Sagisawa (The Idolm@ster Cinderella Girls)
623	長瀞さん	©	Hayase Nagatoro (Nagatoro-san short tag)
624	童貞を殺すセーター	costume	Virgin Killer Sweater (Full japanese name tag)
625	汚いおっさん	type-	Ugly bastard / Dirty old man archetype
626	正の字	bodymark-	Tally marks / Counting orgasms drawn on skin with 'Sei'
627	月野うさぎ	©	Usagi Tsukino / Sailor Moon
628	晒し者	expose	public humiliation / Public exhibition / Exposed person to crowd
629	拷問館	gear	Torture Device
630	愛宕	©	Atago (Azur Lane / KanColle single name tag)
631	原创	oc	Original / OC (Chinese characters variant tag)
632	即夜戦	setting-	Instant Night Battle (Kantai Collection)
633	千年戦争アイギス	tm	Millennium War Aigis
634	側面全裸	tit expose	naked side / No sides dress / Sideboob-to-hip exposure
635	便器舐め	tongue	Toilet bowl licking (BDSM extreme degradation)
636	乳打撃	tit	Breast slapping / Tit punching (Ryona/Rough sex)
637	ランドセル	id	Randoseru / Elementary school backpack
638	ポケモン剣盾	tm	Pokémon Sword & Shield
639	ボンテージ	bond gear	Bondage gear / Leather strappy wear
640	ネコミミ	fantasy	Cat ears / Nekomimi (Katakana spelling tag)
641	セーラー対魔忍	tm	Sailor Taimanin crossover project
642	グロ	guro	Guro / Grotesque / Gore content indicator
643	アへ顔	face	ahegao
644	sexy	body-	Sexy (English lowercase tag)
645	large_breasts	tit-	Large Breasts (English lowercase snake_case tag)
646	cute	body-	Cute (English lowercase tag)
647	ahegao	face	Ahegao (English lowercase tag)
648	Re:ゼロから始める異世界生活	tm	Re:Zero - Starting Life in Another World (Full name)
649	R18	content	R-18 explicit rating tag
650	OL	costume-	Office Lady (Occupation archetype)
651	LOL	tm	League of Legends
652	青肌	fantasy	Blue skin (Monster girls, alien or demon skin)
653	開口器	mouth sm	Speculum / Mouth gag / Oral spreader device
654	鎖	bond gear	Chains / Metal chains bondage
655	腋見せのポーズ	armpit	showing off armpits
656	白タイツ	underwear-	white tights / Thigh-high socks / Thigh-highs
657	甘雨(原神)	©	Ganyu (Genshin Impact character)
658	犬走椛	©	Momiji Inubashiri (Touhou character)
659	焼印	bodymark	Branding / Hot iron marking (BDSM extreme)
660	泣き顔	face-	teary-eyed / Crying face (Expression preference)
661	東風谷早苗	©	Sanae Kochiya (Touhou character)
662	巨尻	ass-	Huge ass / Big butt
663	妖姿媚態	lust-	seductive appearance & posture / Bewitching figure and seductive behavior
664	城ヶ崎美嘉	©	Mika Jogasaki (The Idolm@ster Cinderella Girls)
665	地雷系	type	Jirai-kei / Minefield girl archetype
666	乳揺れ	tit	bouncing breasts / Breast jiggle / Breast shaking
667	リブ生地	wear-	Ribbed fabric clothing / Ribbed sweater
668	ラムちゃん	©	Lum-chan (Urusei Yatsura)
669	ラム	©	Ram (Re:Zero character or Lum short name)
670	ラストオリジン	tm	Last Origin
671	ヨル・フォージャー	©	Yor Forger (Spy x Family)
672	ボンバーガール	tm	Bomber Girl
673	ボディペイント	bodymark expose	Body paint
674	ビットギャグ	mouth sm	Bit gag / Bridle gag (BDSM horse play)
675	パイフェラ	tit mouth dick	Paizuri into fellatio / mammary intercourse & fellatio
676	バック	anus-	Doggy style / From behind
677	ニラマレ	face-	Glaring expression / Scowling look
678	セルフ浴尿	uro	Self urine bath / Urinating on oneself (Urola avançada)
679	まったく、駆逐艦は最高だぜ!!	©	Geez, Destroyers are the best! (Meme clássico de KanColle)
680	ねこみみ	fantasy	Nekomimi / Cat ears (Hiragana variant)
681	たくしあげ	expose-	Tucking up skirt/shirt / Lifting up clothes to expose
682	お腹	belly-	Stomach / Belly / Abdomen focus
683	loli	loli	Loli (English lowercase tag)
684	fanart	tm-	Fanart (English lowercase tag)
685	SPY×FAMILY	tm	Spy × Family
686	FE	tm	Fire Emblem (Abbreviation tag)
687	C84	event	Comiket 84 reference tag
688	Ahri	©	Ahri (League of Legends)
689	90年代風	art_style	90s anime style aesthetic
690	鼻輪	pierc	Nose ring / Septum piercing
691	野ション	uro	No-shon / Outdoor urination / Peeing in public
692	踊り子	costume	Dancer outfit / Belly dancer costume
693	英雄联盟	tm	League of Legends (Chinese characters variant tag)
694	花嫁	id	Bride / Wedding dress context
695	精飲	cum	Semen drinking / Seinin / Swallowing cum (A sua 'sopa')
696	立ちバック	sex	Standing doggy style / Standing from behind
697	破瓜	sex	Defloration / Loss of virginity / First time (Corrigido!)
698	着衣パイズリ	tit dick	Clothed paizuri / Titfuck through fabric
699	着衣セックス	sex	Clothed sex / Intercourse while wearing clothes
700	白丝	underwear	white silk pantyhose / Hakuhei
701	申鹤	©	Shenhe (Genshin Impact - Chinese tag)
702	温泉	setting expose	Hot Spring / Onsen setting
703	早瀬ユウカ	©	Yuuka Hayase (Blue Archive - A tesoureira favorita!)
704	撫で回したいお腹	belly-	A belly I want to caress/stroke
705	授乳手コキ	tit milk dick	Lactation handjob / Breastfeeding handjob
706	抱き枕カバー	content	Dakimakura cover / Body pillow design
707	手ブラ	tit	Hand bra (Covering breasts with hands)
708	愛野美奈子	©	Minako Aino / Sailor Venus
709	少女と小便器	uro	Girl using a urinal (Mais uma pro complexo de galeria!)
710	小学生	id	Elementary school student / Shougakusei
711	口内放尿	uro mouth	Mouth urination / Peeing in mouth
712	人外娘	fantasy	Monster Girl / Non-human girl (Jingaimusume)
713	乳房切断	tit guro	Breast amputation / Mastectomy (Guro/Ryona pesado)
714	マングソ	sca	Manguso / Extreme scat context (Vá com calma nas galerias!)
715	プロジェクトセカイ	tm	Project Sekai (Vocaloid rhythm game)
716	バンドリ	tm	BanG Dream! (Bandori)
717	ドラゴンクエスト	tm	Dragon Quest (Full name)
718	ダンジョンに出会いを求めるのは間違っているだろうか	tm	DanMachi / Is It Wrong to Try to Pick Up Girls in a Dungeon?
719	セーラープルート	©	Sailor Pluto
720	スパッツ	wear-	leggings / Spats / Athletic tights
721	ストレングス	©	Strength (Black★Rock Shooter)
722	スケベボディ	lust-	Lewd body / Slutty physique
723	シロナ	©	Cynthia (Pokémon Diamond/Pearl - Deusa absoluta)
724	ゲロ	sca	Vomit / Emetic fetish (Guro light)
725	グロマン	pussy	grotesque pussy
726	キャミィ	©	Cammy White (Street Fighter)
727	カテーテル	pussy gear sm	Catheter play (Fetiche médico/BDSM)
728	アヘ顔ダブルピース	face	Ahegao double peace sign pose
729	アナル舐め	anus tongue	Anal licking / Anilingus
730	アナルくぱぁ	anus expose	Anal spread
731	アスカ	©	Asuka Langley Soryu (Evangelion)
732	だがしかし	tm	Dagashi Kashi
733	お姉さん	type	Oneesan / Big sister type
734	zzzero	tm	Zenless Zone Zero (Short casual tag)
735	skeb	content	Skeb art commission (Lowercase tag)
736	originalcharacter	oc	Original Character (English tag)
737	arknights	tm	Arknights (English tag)
738	VOICEROID	tm	Voiceroid series
739	Shenhe	©	Shenhe (Genshin Impact - English tag)
740	M女	type	Masochistic woman / M-girl (BDSM role)
741	C95	event	Comic Market 95 / Comiket 95
742	C91	event	Comic Market 91 / Comiket 91
743	C83	event	Comic Market 83 / Comiket 83
744	BBC	dick	Big Black Cock (Interracial trope)
745	80年代風	art_style	80s anime style filter
746	鹿島	©	Kashima (Kantai Collection - Short tag)
747	鳴潮	tm	Wuthering Waves (Chinese characters kanji variant)
748	顔面騎乗	sm	Facesitting
749	赤面	face-	Blushing face
750	舌射	cum tongue	Cum on tongue / Ejaculation on tongue
751	羽川ハスミ	©	Hasumi Hanekawa (Blue Archive - As asas gigantes dela!)
752	羞恥プレイ	sm expose	Humiliation play / Shame play
753	繋がれピアス	nip clit pierc	Connected piercings (Nipple to clit, etc.)
754	種付けプレス	sex	Mating press / Breeding press (Posição intensa!)
755	白銀ノエル	©	Shirogane Noel (Hololive VTuber - Peito nível Knight)
756	犬耳	fantasy	Dog ears (Inumimi)
757	浜風	©	Hamakaze (Kantai Collection)
758	死体	guro	Corpse / Necrophilia context (Guro supremo)
759	抱き枕	content	Dakimakura / Hugging pillow (General tag)
760	愛のあるセックス	sex	Loving sex / Passionate consensual sex (Raro no Pixiv kkk)
761	恥辱	sm expose	Humiliation / Disgrace
762	巨クリ	clit	large clit
763	女の子に急所攻撃	ryona	Attack on girl's vital spot (Guro/Ryona groin attack)
764	大鳳(アズールレーン)	©	Taihou (Azur Lane)
765	同人	content	Doujin / Self-published work
766	勃起クリトリス	clit	erect clitoris
767	今泉影狼	©	Kagerou Imaizumi (Touhou werewolf girl)
768	乳首イキ	nip	Nipple orgasm
769	ロンググローブ	wear-	Long gloves (Katakana variation)
770	レズキス	not_solo yuri	Lesbian kiss / Yuri kiss
771	ルーズソックス	underwear-	Loose socks / Kogal style socks
772	リゼロ	tm	Re:Zero - Starting Life in Another World
773	リコリス・リコイル	tm	Lycoris Recoil
774	ランジェリー	underwear	Lingerie
775	モリガン	©	Morrigan Aensland (Darkstalkers - Short tag)
776	ポケモンXY	tm	Pokémon X and Y
777	ボディピアス	pierc	Body piercing
778	ファイアーエムブレム	tm	Fire Emblem
779	ハーレム	not_solo	Harem
780	ハーネス	sm gear	Harness (BDSM leather straps)
781	ドールズフロントライン	tm	Girls' Frontline / Dolls Frontline
782	トレンカ	underwear-	stirrup leggings / Trenka
783	ディープキス	tongue	Deep kiss / French kiss
784	セーラーサターン	©	Sailor Saturn
785	コンドーム腰蓑	condom	Condom skirt / Condom belt (Fetiche de excessos)
786	ケモ耳	fantasy	Animal ears (Kemomimi)
787	キョンシー	fantasy	Jiangshi / Kyonshi (Chinese hopping vampire)
788	エヴァンゲリオン	tm	Neon Genesis Evangelion (Full name)
789	エンジェル倶楽部	tm	Angel Club
790	エルフ耳	fantasy	Elf ears (Duplicate tag in katakana)
791	アイドルマスターミリオンライブ!	tm	THE IDOL@STER Million Live!
792	うんち	sca	Poop / Feces (Scat explícito)
793	HonkaiStarRail	tm	Honkai: Star Rail (English tag)
794	C87	event	Comic Market 87 / Comiket 87
795	C86	event	Comic Market 86 / Comiket 86
796	AIart	ai	AI Art (English tag)
797	鬼娘	fantasy	Oni Girl / Demon girl (Onimusume)
798	髪ブラ	tit	Hair bra (Covering breasts with long hair)
799	馬姦	beast	Bestiality with a horse / Horse sex (Galeria maldita! kkk)
800	長乳	tit	Long/sagging breasts / nagachichimatahachounyuu
801	遊戯王OCG	tm	Yu-Gi-Oh! Official Card Game
802	足	foot-	Foot / Feet / Legs
803	褐色娘	black	Dark-skinned girl
804	肉感少女	lust-	Fleshy girl / Voluptuous young girl
805	聖園ミカ	©	Mika Misono (Blue Archive - A princesa caída)
806	美乳	tit-	Beautiful breasts
807	精液便所	cum	Cum dumpster / Semen toilet archetype
808	笑顔	face-	Smiling face
809	看護婦	costume	Nurse (Outfit/archetype)
810	白上フブキ	©	Shirakami Fubuki (Hololive VTuber - Fox waifu!)
811	流血	ryona	Bleeding / Bloodshed (Ryona/Guro explicit)
812	正常位	sex	Missionary position
813	春麗	©	Chun-Li (Street Fighter)
814	撫で回したい尻	ass-	An ass I want to caress/stroke
815	手描き	not_ai	Hand-drawn / Traditional feel digital art
816	愛宕(アズールレーン)	©	Atago (Azur Lane)
817	性職者	id	Clergy worker / Lewd nun or priest (Trote com 'sex worker')
818	常闇トワ	©	Tokoyami Towa (Hololive VTuber)
819	宝鐘マリン	©	Houshou Marine (Hololive - A capitã mais sedenta do YT)
820	女囚	costume	Female prisoner
821	女体化	content	Feminization / Gender-bend (Genderswap)
822	女	content-	Woman / Female
823	四肢拘束	bond	Full limb restraint / Four-limb bondage
824	喜多川海夢	©	Marin Kitagawa (My Dress-Up Darling)
825	単行本	content	Tankobon / Manga volume release
826	包茎	dick	phimosis / uncircumcised penis
827	剥けチン	dick	peeled foreskin / circumcised / exposed glans
828	処女	type	Virgin
829	八重歯	face	Snaggletooth / Yaeba (Dente de canino saltado fofo)
830	佐々城柑奈	©	Kanna Sasaki (Visual Novel character/OC)
831	仰け反り絶頂	sex	Arched-back climax / Bending backwards orgasm
832	乳首に名札	nip	Name tag pinned on nipple
833	乳内射精	cum tit	Ejaculation inside breasts / Cleavage creampie
834	モリガン・アーンスランド	©	Morrigan Aensland (Darkstalkers - Full name)
835	ポールダンス	gear	Pole dancing
836	プロセカ	tm	Project Sekai (Japanese abbreviation)
837	プリコネR	tm	Princess Connect! Re:Dive (Abbreviation)
838	プリキュア	tm	Pretty Cure (Precure)
839	ブーツ	wear-	Boots
840	フォーミダブル(アズールレーン)	©	Formidable (Azur Lane)
841	ビキニアーマー	costume	Bikini Armor
842	バイブINパンツ	toy	Vibrator inside panties
843	ハイスクールD×D	tm	High School DxD
844	ナンジャモ	©	Iono / Nanjamo (Pokémon Scarlet/Violet Gym Leader)
845	タイツ	underwear-	Tights
846	ゼルダの伝説	tm	The Legend of Zelda
847	セクシー	body-	Sexy (Duplicate tag in katakana)
848	キューティーハニー	tm	Cutie Honey
849	ガルパン	tm	Girls und Panzer (Garpan)
850	アナル中出し	anus cum	Anal creampie
851	アイギス	©	Aigis (Persona 3 / Millennium War Aigis)
852	よだれ	mouth	drool / saliva
853	へそ	belly-	Navel / Bellybutton (Short kanji tag)
854	たかぎさん	©	Takagi-san (Teasing Master Takagi-san)
855	さなぱい	tit ©	Sanapai / Sanae's big breasts (Touhou fandom joke)
856	けしからん谷間	tit	naughty cleavage / Outrageous/Indecent cleavage
857	お風呂	toilet	Bath / Bathroom setting
858	piercing	pierc	Piercing (English lowercase tag)
859	nsfw	content	NSFW (Not Safe For Work - English tag)
860	WanVideo	ai	WanVideo (AI Video generation tool reference)
861	Iray	art_style	Daz3D Iray Render engine reference
862	C89	event	Comic Market 89 / Comiket 89 (Duplicate tag)
863	AZKi	©	AZKi (Hololive VTuber)
864	髪射	cum	Cum on hair / Ejaculation on hair
865	金髪碧眼	hair-	Blonde hair and blue eyes (Duplicate tag)
866	遠坂凛	©	Rin Tohsaka (Fate/stay night)
867	透けへそ	expose-	see-through navel / Navel visible through clothing / Translucent navel
868	踏みつけ	sm	Trampling / Foot stepping (BDSM domination)
869	调教	sm	Training / Discipline (BDSM - Chinese character variant)
870	美女	content-	Beautiful woman
871	網タイツ	underwear	fishnets
872	破れストッキング	expose-	Torn stockings / Ripped tights
873	眼帯	glasses-	Eyepatch
874	盛るペコ	© lust	Pekora in heat / Horny Pekora trope (Corrigido! kkk)
875	白瀬咲耶	©	Sakuya Shirase (The Idolm@ster Shiny Colors)
876	甘雨	©	Ganyu (Genshin Impact - Short name tag)
877	瑞鶴	©	Zuikaku (Kantai Collection - Short name tag)
878	獣人	fantasy beast	Beastman / Anthropomorph / Theriantrope
879	染みパン	uro underwear	stained panties
880	擬人化	fantasy	Anthropomorphism
881	搾精	cum	Semen harvesting / Intense milking (Chinese/JP variant)
882	掌受け	cum	Catching cum in hands / Palm pooling
883	恐怖失禁	uro	Fear incontinence / Wetting oneself out of terror (Ryona)
