TAG	CATEGORY	NOTES / TRANSLATION
甘雨(原神)	©	Ganyu (Genshin Impact character)
犬走椛	©	Momiji Inubashiri (Touhou character)
焼印	bodymark	Branding / Hot iron marking (BDSM extreme)
泣き顔	face-	teary-eyed / Crying face (Expression preference)
東風谷早苗	©	Sanae Kochiya (Touhou character)
巨尻	ass-	Huge ass / Big butt
妖姿媚態	lust-	seductive appearance & posture / Bewitching figure and seductive behavior
城ヶ崎美嘉	©	Mika Jogasaki (The Idolm@ster Cinderella Girls)
地雷系	type	Jirai-kei / Minefield girl archetype
乳揺れ	tit	bouncing breasts / Breast jiggle / Breast shaking
白タイツ	underwear-	white tights / Thigh-high socks / Thigh-highs
ラムちゃん	©	Lum-chan (Urusei Yatsura)
ラム	©	Ram (Re:Zero character or Lum short name)
ラストオリジン	tm	Last Origin
ヨル・フォージャー	©	Yor Forger (Spy x Family)
ボンバーガール	tm	Bomber Girl
ボディペイント	bodymark expose	Body paint
ビットギャグ	mouth sm	Bit gag / Bridle gag (BDSM horse play)
パイフェラ	tit mouth dick	Paizuri into fellatio / mammary intercourse & fellatio
バック	anal-	Doggy style / From behind
ニラマレ	face-	Glaring expression / Scowling look
セルフ浴尿	uro	Self urine bath / Urinating on oneself (Urola avançada)
まったく、駆逐艦は最高だぜ!!	©	Geez, Destroyers are the best! (Meme clássico de KanColle)
ねこみみ	fantasy	Nekomimi / Cat ears (Hiragana variant)
たくしあげ	expose-	Tucking up skirt/shirt / Lifting up clothes to expose
お腹	belly-	Stomach / Belly / Abdomen focus
loli	loli	Loli (English lowercase tag)
fanart	tm-	Fanart (English lowercase tag)
SPY×FAMILY	tm	Spy × Family
FE	tm	Fire Emblem (Abbreviation tag)
C84	event	Comiket 84 reference tag
Ahri	©	Ahri (League of Legends)
90年代風	art_style	90s anime style aesthetic
鼻輪	pierc	Nose ring / Septum piercing
野ション	uro	No-shon / Outdoor urination / Peeing in public
踊り子	costume	Dancer outfit / Belly dancer costume
英雄联盟	tm	League of Legends (Chinese characters variant tag)
花嫁	id	Bride / Wedding dress context
精飲	cum	Semen drinking / Seinin / Swallowing cum (A sua 'sopa')
立ちバック	sex	Standing doggy style / Standing from behind
破瓜	sex	Defloration / Loss of virginity / First time (Corrigido!)
着衣パイズリ	tit dick	Clothed paizuri / Titfuck through fabric
着衣セックス	sex	Clothed sex / Intercourse while wearing clothes
ルーズソックス	underwear-	Loose socks / Kogal style socks
申鹤	©	Shenhe (Genshin Impact - Chinese tag)
温泉	setting expose	Hot Spring / Onsen setting
早瀬ユウカ	©	Yuuka Hayase (Blue Archive - A tesoureira favorita!)
撫で回したいお腹	belly-	A belly I want to caress/stroke
授乳手コキ	tit milk dick	Lactation handjob / Breastfeeding handjob
抱き枕カバー	content	Dakimakura cover / Body pillow design
手ブラ	tit	Hand bra (Covering breasts with hands)
愛野美奈子	©	Minako Aino / Sailor Venus
少女と小便器	uro	Girl using a urinal (Mais uma pro complexo de galeria!)
小学生	id	Elementary school student / Shougakusei
口内放尿	uro mouth	Mouth urination / Peeing in mouth
人外娘	fantasy	Monster Girl / Non-human girl (Jingaimusume)
乳房切断	tit guro	Breast amputation / Mastectomy (Guro/Ryona pesado)
マングソ	sca	Manguso / Extreme scat context (Vá com calma nas galerias!)
プロジェクトセカイ	tm	Project Sekai (Vocaloid rhythm game)
バンドリ	tm	BanG Dream! (Bandori)
ドラゴンクエスト	tm	Dragon Quest (Full name)
ダンジョンに出会いを求めるのは間違っているだろうか	tm	DanMachi / Is It Wrong to Try to Pick Up Girls in a Dungeon?
セーラープルート	©	Sailor Pluto
トレンカ	underwear-	stirrup leggings / Trenka
ストレングス	©	Strength (Black★Rock Shooter)
スケベボディ	lust-	Lewd body / Slutty physique
シロナ	©	Cynthia (Pokémon Diamond/Pearl - Deusa absoluta)
ゲロ	sca	Vomit / Emetic fetish (Guro light)
グロマン	pussy	grotesque pussy
キャミィ	©	Cammy White (Street Fighter)
カテーテル	pussy gear sm	Catheter play (Fetiche médico/BDSM)
アヘ顔ダブルピース	face	Ahegao double peace sign pose
アナル舐め	anal tongue	Anal licking / Anilingus
アナルくぱぁ	anal expose	Anal spread
アスカ	©	Asuka Langley Soryu (Evangelion)
だがしかし	tm	Dagashi Kashi
お姉さん	type	Oneesan / Big sister type
zzzero	tm	Zenless Zone Zero (Short casual tag)
skeb	content	Skeb art commission (Lowercase tag)
originalcharacter	oc	Original Character (English tag)
arknights	tm	Arknights (English tag)
VOICEROID	tm	Voiceroid series
Shenhe	©	Shenhe (Genshin Impact - English tag)
M女	type	Masochistic woman / M-girl (BDSM role)
C95	event	Comic Market 95 / Comiket 95
C91	event	Comic Market 91 / Comiket 91
C83	event	Comic Market 83 / Comiket 83
BBC	dick	Big Black Cock (Interracial trope)
80年代風	art_style	80s anime style filter
鹿島	©	Kashima (Kantai Collection - Short tag)
鳴潮	tm	Wuthering Waves (Chinese characters kanji variant)
顔面騎乗	sm	Facesitting
赤面	face-	Blushing face
舌射	cum tongue	Cum on tongue / Ejaculation on tongue
羽川ハスミ	©	Hasumi Hanekawa (Blue Archive - As asas gigantes dela!)
羞恥プレイ	sm expose	Humiliation play / Shame play
繋がれピアス	nip clit pierc	Connected piercings (Nipple to clit, etc.)
種付けプレス	sex	Mating press / Breeding press (Posição intensa!)
白銀ノエル	©	Shirogane Noel (Hololive VTuber - Peito nível Knight)
犬耳	fantasy	Dog ears (Inumimi)
浜風	©	Hamakaze (Kantai Collection)
死体	guro	Corpse / Necrophilia context (Guro supremo)
抱き枕	content	Dakimakura / Hugging pillow (General tag)
愛のあるセックス	sex	Loving sex / Passionate consensual sex (Raro no Pixiv kkk)
恥辱	sm expose	Humiliation / Disgrace
巨クリ	clit	large clit
女の子に急所攻撃	ryona	Attack on girl's vital spot (Guro/Ryona groin attack)
大鳳(アズールレーン)	©	Taihou (Azur Lane)
同人	content	Doujin / Self-published work
勃起クリトリス	clit	erect clitoris
今泉影狼	©	Kagerou Imaizumi (Touhou werewolf girl)
乳首イキ	nip	Nipple orgasm
タイツ	underwear-	Tights
レズキス	not_solo yuri	Lesbian kiss / Yuri kiss
ふんどし	underwear-	Fundoshi / Traditional loincloth
リゼロ	tm	Re:Zero - Starting Life in Another World
リコリス・リコイル	tm	Lycoris Recoil
ブラジャー	underwear-	Bra
モリガン	©	Morrigan Aensland (Darkstalkers - Short tag)
ポケモンXY	tm	Pokémon X and Y
ボディピアス	pierc	Body piercing
ファイアーエムブレム	tm	Fire Emblem
ハーレム	not_solo	Harem
ハーネス	sm gear	Harness (BDSM leather straps)
ドールズフロントライン	tm	Girls' Frontline / Dolls Frontline
染みパン	uro underwear	stained panties
ディープキス	tongue	Deep kiss / French kiss
セーラーサターン	©	Sailor Saturn
コンドーム腰蓑	condom	Condom skirt / Condom belt (Fetiche de excessos)
ケモ耳	fantasy	Animal ears (Kemomimi)
キョンシー	fantasy	Jiangshi / Kyonshi (Chinese hopping vampire)
エヴァンゲリオン	tm	Neon Genesis Evangelion (Full name)
エンジェル倶楽部	tm	Angel Club
エルフ耳	fantasy	Elf ears (Duplicate tag in katakana)
アイドルマスターミリオンライブ!	tm	THE IDOL@STER Million Live!
うんち	sca	Poop / Feces (Scat explícito)
HonkaiStarRail	tm	Honkai: Star Rail (English tag)
C87	event	Comic Market 87 / Comiket 87
C86	event	Comic Market 86 / Comiket 86
AIart	ai	AI Art (English tag)
鬼娘	fantasy	Oni Girl / Demon girl (Onimusume)
髪ブラ	tit	Hair bra (Covering breasts with long hair)
馬姦	beast	Bestiality with a horse / Horse sex (Galeria maldita! kkk)
長乳	tit	Long/sagging breasts / nagachichimatahachounyuu
遊戯王OCG	tm	Yu-Gi-Oh! Official Card Game
足	foot-	Foot / Feet / Legs
褐色娘	tan	Dark-skinned girl
肉感少女	lust-	Fleshy girl / Voluptuous young girl
聖園ミカ	©	Mika Misono (Blue Archive - A princesa caída)
美乳	tit-	Beautiful breasts
精液便所	cum	Cum dumpster / Semen toilet archetype
笑顔	face-	Smiling face
看護婦	costume	Nurse (Outfit/archetype)
白上フブキ	©	Shirakami Fubuki (Hololive VTuber - Fox waifu!)
流血	ryona	Bleeding / Bloodshed (Ryona/Guro explicit)
正常位	sex	Missionary position
春麗	©	Chun-Li (Street Fighter)
撫で回したい尻	ass-	An ass I want to caress/stroke
手描き	not_ai	Hand-drawn / Traditional feel digital art
愛宕(アズールレーン)	©	Atago (Azur Lane)
性職者	id	Clergy worker / Lewd nun or priest (Trote com 'sex worker')
常闇トワ	©	Tokoyami Towa (Hololive VTuber)
宝鐘マリン	©	Houshou Marine (Hololive - A capitã mais sedenta do YT)
女囚	costume	Female prisoner
女体化	content	Feminization / Gender-bend (Genderswap)
女	content-	Woman / Female
四肢拘束	bond	Full limb restraint / Four-limb bondage
喜多川海夢	©	Marin Kitagawa (My Dress-Up Darling)
単行本	content	Tankobon / Manga volume release
包茎	dick	phimosis / uncircumcised penis
剥けチン	dick	peeled foreskin / circumcised / exposed glans
処女	type	Virgin
八重歯	face	Snaggletooth / Yaeba (Dente de canino saltado fofo)
佐々城柑奈	©	Kanna Sasaki (Visual Novel character/OC)
仰け反り絶頂	sex	Arched-back climax / Bending backwards orgasm
乳首に名札	nip	Name tag pinned on nipple
乳内射精	cum tit	Ejaculation inside breasts / Cleavage creampie
モリガン・アーンスランド	©	Morrigan Aensland (Darkstalkers - Full name)
ポールダンス	gear	Pole dancing
プロセカ	tm	Project Sekai (Japanese abbreviation)
プリコネR	tm	Princess Connect! Re:Dive (Abbreviation)
プリキュア	tm	Pretty Cure (Precure)
長手袋	wear-	long gloves
フォーミダブル(アズールレーン)	©	Formidable (Azur Lane)
ビキニアーマー	costume	Bikini Armor
バイブINパンツ	toy	Vibrator inside panties
ハイスクールD×D	tm	High School DxD
ナンジャモ	©	Iono / Nanjamo (Pokémon Scarlet/Violet Gym Leader)
白長手袋	wear-	white long gloves / opera gloves
ゼルダの伝説	tm	The Legend of Zelda
セクシー	body-	Sexy (Duplicate tag in katakana)
キューティーハニー	tm	Cutie Honey
ガルパン	tm	Girls und Panzer (Garpan)
アナル中出し	anal cum	Anal creampie
アイギス	©	Aigis (Persona 3 / Millennium War Aigis)
よだれ	mouth	drool / saliva
へそ	belly-	Navel / Bellybutton (Short kanji tag)
たかぎさん	©	Takagi-san (Teasing Master Takagi-san)
さなぱい	tit ©	Sanapai / Sanae's big breasts (Touhou fandom joke)
けしからん谷間	tit	naughty cleavage / Outrageous/Indecent cleavage
お風呂	toilet	Bath / Bathroom setting
piercing	pierc	Piercing (English lowercase tag)
nsfw	content	NSFW (Not Safe For Work - English tag)
WanVideo	ai	WanVideo (AI Video generation tool reference)
Iray	art_style	Daz3D Iray Render engine reference
C89	event	Comic Market 89 / Comiket 89 (Duplicate tag)
AZKi	©	AZKi (Hololive VTuber)
髪射	cum	Cum on hair / Ejaculation on hair
金髪碧眼	hair-	Blonde hair and blue eyes (Duplicate tag)
遠坂凛	©	Rin Tohsaka (Fate/stay night)
透けへそ	expose-	see-through navel / Navel visible through clothing / Translucent navel
踏みつけ	sm	Trampling / Foot stepping (BDSM domination)
调教	sm	Training / Discipline (BDSM - Chinese character variant)
美女	content-	Beautiful woman
サイハイブーツ	wear-	Thigh-high boots
破れストッキング	expose-	Torn stockings / Ripped tights
眼帯	glasses-	Eyepatch
盛るペコ	© lust	Pekora in heat / Horny Pekora trope (Corrigido! kkk)
白瀬咲耶	©	Sakuya Shirase (The Idolm@ster Shiny Colors)
甘雨	©	Ganyu (Genshin Impact - Short name tag)
瑞鶴	©	Zuikaku (Kantai Collection - Short name tag)
獣人	fantasy beast	Beastman / Anthropomorph / Theriantrope
ショートパンツ	wear-	Short pants / Booty shorts
擬人化	fantasy	Anthropomorphism
搾精	cum	Semen harvesting / Intense milking (Chinese/JP variant)
掌受け	cum	Catching cum in hands / Palm pooling
恐怖失禁	uro	Fear incontinence / Wetting oneself out of terror (Ryona)
幼女	loli	Young girl / Loli variant (Youjo)
崩壊3rd	tm	Honkai Impact 3rd
学園アイドルマスター	tm	Gakuen Idolmaster
女性上位	sex	Female on top / Cowgirl position (Alternative term)
女子校生	id	High school girl / JK (Duplicate tag)
四楓院夜一	©	Yoruichi Shihoin (Bleach)
原創	oc	Original Creation (Chinese characters tag for OC)
勃起ズル剥け	dick	bokkizurumuke / fully exposed erect glans / exposed erection
加賀	©	Kaga (Kantai Collection - Short tag)
刻晴	©	Keqing (Genshin Impact - Kanji tag)
八雲紫	©	Yukari Yakumo (Touhou Project)
俺の妹がこんなに可愛いわけがない	tm	OreImo / My Little Sister Can't Be This Cute
例のセーター	costume	Virgin Killer Sweater
人外	fantasy beast	Non-human / Monster (General category)
乳鷲掴み	tit	Eagle-grip breast squeeze / Rough breast grab
ロリ爆乳	loli tit type	Loli with massive breasts
レム(リゼロ)	©	Rem (Re:Zero - Explicit character tag)
ライザリン・シュタウト	©	Reisalin Stout / Ryza (Atelier Ryza - As coxas mais famosas)
ライザのアトリエ	tm	Atelier Ryza series
ヤンデレ	type	Yandere (Archetype preference)
ホタル(スターレイル)	©	Firefly / Hotaru (Honkai: Star Rail)
ヘスティア	©	Hestia (DanMachi - A deusa da fita azul!)
手袋	wear-	gloves
ファイナルファンタジー7	tm	Final Fantasy VII
ハート目	face-	Heart eyes / Pupil arousal expression
ノーパン	expose	No panties / Commando state
ニコ・デマラ	©	Nicole Demara (Zenless Zone Zero)
ナルメア	©	Narmaya (Granblue Fantasy - A big sister definitiva)
チューブ連結	sm gear	Tube connection / Medical fluid tubes
セルフパイ舐め	tit tongue	Self breast/nipple licking
セリフ付き	content	With dialogue lines / Text included
スマイルプリキュア	tm	Smile Precure!
スプリットタン	tongue	forked tongue / split tongue
ハイヒール	wear-	high heels
イリヤスフィール・フォン・アインツベルン	©	Illyasviel von Einzbern (Fate series - Alerta de loli!)
イジらないで、長瀞さん	tm	Don't Toy with Me, Miss Nagatoro
アナルパール	anal sm- toy	Anal pearls / Anal beads
まんこ	pussy	Manko / Pussy
ふつくしい	art_style	beautiful
にあ☆みぃ	©	Nia☆Mii (Poser 3D Character)
つぶれおっぱい	tit	squished breasts / collapsed breasts
elsword	tm	Elsword (English lowercase tag)
Wフェラ	mouth dick	Double blowjob / Two girls on one guy
Splatoon	tm	Splatoon series
I字バランス	open	I-shaped balance vertical split / Extreme leg stretch
C82	event	Comic Market 82 / Comiket 82
3Dカスタム少女	tm	3D Custom Girl (Classic H-game simulator)
魔法少女まどか☆マギカ	tm	Puella Magi Madoka Magica
長乳首	nip	long nipples / elongated nipples
錦木千束	©	Chisato Nishikigi (Lycoris Recoil)
達磨	guro	Daruma / Limbless doll state (Ryona/Amputação extrema)
逆レイプ	sm sex	Reverse rape / Femdom forced sex
逆さ吊り	bond	Hanging upside down restraint (Inversion bondage)
辱め	sm expose	Humiliation / Disgrace treatment
超乳	tit-	extra large breasts / hyper breasts / gigantic tits
角楯カリン	©	Karin Kakutate (Blue Archive - Empregada coelha chocólatra)
血	ryona	Blood (Ryona/Guro light indicator)
自慰	mast	Masturbation (Full kanji spelling)
